model,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,specificity,specificity_std
biomedclip,0.9328947368421052,0.0030701754385965008,0.936957676642465,0.004724009231260928,0.9282456140350878,0.0012280701754386336,0.9325812990217678,0.0029597534423171368,0.9375438596491228,0.0049122807017544234
resnet101,0.9158771929824562,0.004649122807017514,0.9287393742087177,0.007507242068139464,0.9008771929824562,0.0015789473684210686,0.9145961350075698,0.0044537670850455235,0.9308771929824562,0.00771929824561407
vit,0.9229824561403509,0.0026315789473684292,0.9303820064262763,0.007749239213350689,0.9143859649122807,0.0031578947368420818,0.9223146345779508,0.0022008152642970513,0.9315789473684211,0.00842105263157894


model,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,specificity,specificity_std
biomedclip,0.7248245614035088,0.0247455442464109,0.8576611777839799,0.015836900652856922,0.5391228070175439,0.04105525192782811,0.662070451362706,0.03566461484184236,0.9105263157894737,0.005964912280701784
resnet101,0.6999122807017544,0.03580802421628093,0.7876798788184802,0.01903833885359224,0.5473684210526316,0.06976678894961444,0.6458958699927544,0.05495833188570465,0.8524561403508772,0.0001754385964912175
vit,0.714561403508772,0.04055501881954987,0.8094635627530364,0.03899946511237129,0.5612280701754386,0.05749326196002097,0.6628677994198094,0.05315313911068359,0.8678947368421053,0.02157894736842103
