epoch,batch,global_step,loss
0,1,0,6.629123687744141
0,2,1,7.044250965118408
0,3,2,6.822498321533203
0,4,3,7.2221479415893555
0,5,4,6.594570636749268
0,6,5,6.429198265075684
0,7,6,6.682008743286133
0,8,7,7.025603771209717
0,9,8,6.53476095199585
0,10,9,7.114687919616699
0,11,10,6.87388277053833
0,12,11,6.654417037963867
0,13,12,6.527128219604492
0,14,13,6.757831573486328
0,15,14,6.781576156616211
0,16,15,6.709169864654541
0,17,16,6.731752872467041
0,18,17,6.653409957885742
0,19,18,6.507858753204346
0,20,19,6.444492816925049
0,21,20,6.489456653594971
0,22,21,6.72747278213501
0,23,22,6.760051250457764
0,24,23,6.333756923675537
0,25,24,6.560912132263184
0,26,25,6.70273494720459
0,27,26,6.668866157531738
0,28,27,6.417270183563232
0,29,28,6.5421953201293945
0,30,29,6.512248992919922
0,31,30,6.658313751220703
0,32,31,6.543123722076416
0,33,32,6.569208145141602
0,34,33,6.374638080596924
0,35,34,6.5083184242248535
0,36,35,6.332096576690674
0,37,36,6.466859817504883
0,38,37,6.460439205169678
0,39,38,6.399806976318359
0,40,39,6.563900470733643
0,41,40,6.394225120544434
0,42,41,6.180644989013672
0,43,42,6.383738040924072
0,44,43,6.350761890411377
0,45,44,6.509178161621094
0,46,45,6.216872215270996
0,47,46,6.280880451202393
0,48,47,6.331283092498779
0,49,48,6.596496105194092
0,50,49,6.284688949584961
0,51,50,6.170323371887207
0,52,51,6.398184299468994
0,53,52,6.202445983886719
0,54,53,6.242086887359619
0,55,54,6.133243083953857
0,56,55,6.035904884338379
0,57,56,6.207088470458984
0,58,57,6.387844562530518
0,59,58,6.045816898345947
0,60,59,6.2959303855896
0,61,60,6.324984550476074
0,62,61,5.955930233001709
0,63,62,6.090001583099365
0,64,63,5.99776029586792
0,65,64,6.019693374633789
0,66,65,6.124832630157471
0,67,66,6.109799861907959
0,68,67,6.258805274963379
0,69,68,5.883573055267334
0,70,69,6.240320682525635
0,71,70,6.212782859802246
0,72,71,6.134742736816406
0,73,72,6.045897960662842
0,74,73,5.905914783477783
0,75,74,6.035295009613037
0,76,75,5.897774696350098
0,77,76,5.9821319580078125
0,78,77,6.290074348449707
0,79,78,6.003149032592773
0,80,79,6.0215744972229
0,81,80,6.119062900543213
0,82,81,5.952277660369873
0,83,82,5.745550632476807
0,84,83,5.792207717895508
0,85,84,5.6851396560668945
0,86,85,6.021121501922607
0,87,86,5.777350425720215
0,88,87,6.0097432136535645
0,89,88,5.72139835357666
0,90,89,6.020510196685791
0,91,90,5.80016565322876
0,92,91,5.865894794464111
0,93,92,5.885436534881592
0,94,93,5.612308502197266
0,95,94,5.741086483001709
0,96,95,5.885802745819092
0,97,96,5.656505584716797
0,98,97,5.796541690826416
0,99,98,5.7348527908325195
0,100,99,5.8890299797058105
0,101,100,5.4548115730285645
0,102,101,5.8546061515808105
0,103,102,5.918818473815918
0,104,103,5.504469871520996
0,105,104,5.658097743988037
0,106,105,5.605652332305908
0,107,106,5.6027445793151855
0,108,107,5.3948798179626465
0,109,108,5.524542331695557
0,110,109,5.427947521209717
0,111,110,5.5327558517456055
0,112,111,5.799614906311035
0,113,112,5.575325965881348
0,114,113,5.653365612030029
0,115,114,5.672824859619141
0,116,115,5.467656135559082
0,117,116,5.526581764221191
0,118,117,5.63929557800293
0,119,118,5.531125545501709
0,120,119,5.538140296936035
0,121,120,5.534834861755371
0,122,121,5.3955535888671875
0,123,122,5.5604023933410645
0,124,123,5.447505950927734
0,125,124,5.445649147033691
0,126,125,5.263630390167236
0,127,126,5.6097917556762695
0,128,127,5.465236186981201
0,129,128,5.434018135070801
0,130,129,5.495054721832275
0,131,130,5.152982711791992
0,132,131,5.280024528503418
0,133,132,5.2803239822387695
0,134,133,5.397848129272461
0,135,134,5.418445110321045
0,136,135,5.319830417633057
0,137,136,5.351396083831787
0,138,137,5.427000999450684
0,139,138,5.2605109214782715
0,140,139,5.13212776184082
0,141,140,5.319346904754639
0,142,141,5.35330057144165
0,143,142,5.227234840393066
0,144,143,5.272387504577637
0,145,144,5.482679843902588
0,146,145,5.254590034484863
0,147,146,5.303670883178711
0,148,147,5.477311134338379
0,149,148,5.191522598266602
0,150,149,5.249727249145508
0,151,150,5.137820243835449
0,152,151,5.200788974761963
0,153,152,5.328344821929932
0,154,153,5.417163372039795
0,155,154,5.109670162200928
0,156,155,5.160513877868652
0,157,156,5.405571937561035
0,158,157,5.143101215362549
0,159,158,5.395636558532715
0,160,159,5.148821830749512
0,161,160,5.370151519775391
0,162,161,5.264880180358887
0,163,162,5.091368675231934
0,164,163,5.035598278045654
0,165,164,5.141201019287109
0,166,165,5.003825664520264
0,167,166,5.152196407318115
0,168,167,4.987446308135986
0,169,168,5.1545820236206055
0,170,169,4.799180507659912
0,171,170,5.228879451751709
0,172,171,4.881019115447998
0,173,172,5.150850772857666
0,174,173,5.198679447174072
0,175,174,5.042288303375244
0,176,175,4.96754789352417
0,177,176,5.014854431152344
0,178,177,4.899997234344482
0,179,178,5.231145858764648
0,180,179,5.148509502410889
0,181,180,4.929727554321289
