epoch,batch,global_step,loss
0,1,0,6.940799236297607
0,2,1,6.961545944213867
0,3,2,7.229859352111816
0,4,3,7.0769429206848145
0,5,4,6.51673698425293
0,6,5,6.864893913269043
0,7,6,6.509787559509277
0,8,7,6.711183547973633
0,9,8,6.030982971191406
0,10,9,6.94695520401001
0,11,10,6.7899088859558105
0,12,11,6.506247520446777
0,13,12,6.712224006652832
0,14,13,6.438930511474609
0,15,14,6.693274974822998
0,16,15,5.96907377243042
0,17,16,6.609558582305908
0,18,17,5.881325721740723
0,19,18,7.078831672668457
0,20,19,6.391493320465088
0,21,20,6.699347972869873
0,22,21,6.334592819213867
0,23,22,6.273130416870117
0,24,23,6.930202484130859
0,25,24,6.278963088989258
0,26,25,6.992042541503906
0,27,26,6.214526653289795
0,28,27,6.655014991760254
0,29,28,6.7149128913879395
0,30,29,6.450607776641846
0,31,30,6.222010135650635
0,32,31,6.43031120300293
0,33,32,6.697773456573486
0,34,33,6.507339954376221
0,35,34,6.264302730560303
0,36,35,6.040018081665039
0,37,36,6.409573554992676
0,38,37,5.999763488769531
0,39,38,6.015987396240234
0,40,39,6.212791442871094
0,41,40,6.277396202087402
0,42,41,5.547422409057617
0,43,42,5.965202331542969
0,44,43,6.360321044921875
0,45,44,5.87288761138916
0,46,45,6.203332424163818
0,47,46,5.98588228225708
0,48,47,5.804492473602295
0,49,48,6.0820441246032715
0,50,49,6.046947002410889
0,51,50,5.980395317077637
0,52,51,6.255180835723877
0,53,52,5.875286102294922
0,54,53,5.816957473754883
0,55,54,5.720342636108398
0,56,55,5.8503594398498535
0,57,56,5.8913373947143555
0,58,57,5.839247226715088
0,59,58,5.605926990509033
0,60,59,5.9170613288879395
0,61,60,6.1108598709106445
0,62,61,5.386980056762695
0,63,62,5.843480110168457
0,64,63,5.5694966316223145
0,65,64,5.822138786315918
0,66,65,5.699944496154785
0,67,66,6.037332057952881
0,68,67,5.832845687866211
0,69,68,5.541269779205322
0,70,69,5.270421028137207
0,71,70,5.436984062194824
0,72,71,5.581574440002441
0,73,72,5.646729946136475
0,74,73,5.691502571105957
